listingId,title,address,streetAddress,rent,beds,baths,sqft,propertyType,phone,url,placardType,has3DTour,company,latitude,longitude,geoSource,timestamp
"h2r4sb2","67 Brooklawn St, New Britain, CT 06052","","67 Brooklawn St","$1,600","2","1","1116","Apartment for Rent","(203) 464-5411","https://www.apartments.com/67-brooklawn-st-new-britain-ct/h2r4sb2/","prosumer","No","","","","","2025-07-02T06:29:32.704Z"
"7db0pyy","115 W Avon Rd, Unionville, CT 06085","","115 W Avon Rd","$4,000","4","3","2342","House for Rent","(860) 530-6951","https://www.apartments.com/115-w-avon-rd-unionville-ct/7db0pyy/","prosumer","No","","","","","2025-07-02T06:29:32.720Z"
"5rtp47q","94 Glen St Unit 3rd Floor, New Britain, CT 06051","","94 Glen St Unit 3rd Floor","$1,590","3","1","","Apartment for Rent","(959) 245-5832","https://www.apartments.com/94-glen-st-new-britain-ct-unit-3rd-floor/5rtp47q/","prosumer","No","","","","","2025-07-02T06:29:32.731Z"
"zn5hd9z","24 Buell St, New Britain, CT 06051","","24 Buell St","$1,500","3","1","950","Apartment for Rent","(860) 356-3868","https://www.apartments.com/24-buell-st-new-britain-ct-unit-3rd-floor/zn5hd9z/","silver","No","","","","","2025-07-02T06:29:32.749Z"
"thq1jcc","18 Roberts St Unit 2, New Britain, CT 06051","","18 Roberts St Unit 2","$800","1","1","","Apartment for Rent","(585) 642-5350","https://www.apartments.com/18-roberts-st-new-britain-ct-unit-2/thq1jcc/","prosumer","No","","","","","2025-07-02T06:29:32.771Z"
"jyv3hp4","6 Riverview, Avon, CT 06001","","6 Riverview","$3,100","2","2.5","2058","Townhome for Rent","(952) 210-3686","https://www.apartments.com/6-riverview-avon-ct/jyv3hp4/","prosumer","No","","","","","2025-07-02T06:29:32.789Z"
"f836f8r","337 Stanley St Unit 1, New Britain, CT 06051","","337 Stanley St Unit 1","$1,750","3","1","1400","Apartment for Rent","(860) 637-0639","https://www.apartments.com/337-stanley-st-new-britain-ct-unit-1/f836f8r/","prosumer","No","","","","","2025-07-02T06:29:32.803Z"
"jtpjld6","287 South Rd, Farmington, CT 06032","","287 South Rd","$1,800","1","1","650","House for Rent","(860) 262-2753","https://www.apartments.com/287-south-rd-farmington-ct/jtpjld6/","prosumer","No","","","","","2025-07-02T06:29:32.819Z"
"7vy3d6x","173 N Main St, Southington, CT 06489","","173 N Main St","$2,100","2","1","1200","Apartment for Rent","(860) 385-6679","https://www.apartments.com/173-n-main-st-southington-ct/7vy3d6x/","silver","No","","","","","2025-07-02T06:29:32.835Z"
"t596479","80-82-82 Garden St, New Britain, CT 06052","","80-82-82 Garden St","$2,000","3","1","1550","Apartment for Rent","(475) 234-4204","https://www.apartments.com/80-82-garden-street-2a-new-britain-ct/t596479/","silver","No","","","","","2025-07-02T06:29:32.846Z"
"edrjdyp","500 Allen St, New Britain, CT 06053","","500 Allen St","$1,700","2","1","1323","Apartment for Rent","(860) 200-2474","https://www.apartments.com/500-allen-st-new-britain-ct/edrjdyp/","silver","No","","","","","2025-07-02T06:29:32.861Z"
"5j8pc5q","405 Park St, Bristol, CT 06010","","405 Park St","$1,600","2","1","888","Apartment for Rent","(860) 845-0452","https://www.apartments.com/405-park-st-bristol-ct/5j8pc5q/","silver","No","","","","","2025-07-02T06:29:32.876Z"
"w5gr54l","167 N Main St, Southington, CT 06489","","167 N Main St","$2,275","2","1.5","1400","Apartment for Rent","(860) 385-6968","https://www.apartments.com/167-n-main-st-southington-ct/w5gr54l/","silver","No","","","","","2025-07-02T06:29:32.887Z"
"8s829p0","55 Columbus Ave, Southington, CT 06489","","55 Columbus Ave","$2,500","2","2.5","1292","Condo for Rent","(860) 329-4707","https://www.apartments.com/55-columbus-ave-southington-ct/8s829p0/","silver","No","","","","","2025-07-02T06:30:11.245Z"
"zv1f4xw","46 Vance Rd, Bristol, CT 06010","","46 Vance Rd","$2,500","3","2","1267","House for Rent","(475) 265-7535","https://www.apartments.com/46-vance-rd-bristol-ct/zv1f4xw/","silver","No","","","","","2025-07-02T06:30:11.273Z"
"zg44bpy","23 Vine Hill Rd, Farmington, CT 06032","","23 Vine Hill Rd","$4,750","4","3.5","3194","House for Rent","(860) 936-9700","https://www.apartments.com/23-vine-hill-rd-farmington-ct/zg44bpy/","silver","No","","","","","2025-07-02T06:30:11.302Z"
"jbgy5q4","136 Tunxis Village, Farmington, CT 06032","","136 Tunxis Village","$3,000","2","2.5","2030","House for Rent","(959) 666-6301","https://www.apartments.com/136-tunxis-village-farmington-ct/jbgy5q4/","silver","No","","","","","2025-07-02T06:30:11.328Z"
"9h7zly5","55 Makara St Unit 1F, Terryville, CT 06786","","55 Makara St Unit 1F","$2,000","3","1","1200","Apartment for Rent","(860) 840-2918","https://www.apartments.com/55-makara-st-terryville-ct/9h7zly5/","prosumer","No","","","","","2025-07-02T06:30:11.347Z"
"m3xqmxl","67 Brooklawn St Unit 2nd Floor, New Britain, CT 06052","","67 Brooklawn St Unit 2nd Floor","$1,600","2","1","1116","Apartment for Rent","(959) 245-2521","https://www.apartments.com/67-brooklawn-st-new-britain-ct/m3xqmxl/","prosumer","No","","","","","2025-07-02T06:30:11.365Z"
"lw6b49f","285 Main St Unit 3, Bristol, CT 06010","","285 Main St Unit 3","$1,800","2","1","2600","Apartment for Rent","(860) 516-5685","https://www.apartments.com/285-main-st-bristol-ct/lw6b49f/","prosumer","No","","","","","2025-07-02T06:30:11.377Z"
"9zkjyq4","","","","","","","","","","","reinforcement","No","","","","","2025-07-02T06:30:11.394Z"
"94lr0m6","8 Alto Rd Unit C Rear, Burlington, CT 06013","","8 Alto Rd Unit C Rear","$2,200","2","1","1200","Apartment for Rent","(860) 782-6689","https://www.apartments.com/8-alto-rd-burlington-ct/94lr0m6/","prosumer","No","","","","","2025-07-02T06:30:11.416Z"
"yh0fn8v","37 Nicholas Dr Unit 37 Nicholas Dr Bristol CT, Bristol, CT 06010","","37 Nicholas Dr Unit 37 Nicholas Dr Bristol CT","$2,100","3","1.5","1300","Apartment for Rent","(860) 936-9051","https://www.apartments.com/37-nicholas-dr-bristol-ct-unit-37-nicholas-dr-bristol-ct/yh0fn8v/","prosumer","No","","","","","2025-07-02T06:30:11.427Z"
"b4wj5b8","197 Tremont St Unit 2F, New Britain, CT 06051","","197 Tremont St Unit 2F","$1,625","2","1","800","Apartment for Rent","(959) 666-9616","https://www.apartments.com/197-tremont-st-new-britain-ct/b4wj5b8/","prosumer","No","","","","","2025-07-02T06:30:11.449Z"
"vzdt9zg","1560 Corbin Ave Unit Eduardo soler, New Britain, CT 06053","","1560 Corbin Ave Unit Eduardo soler","$1,550","2","1","150","Apartment for Rent","(860) 200-3936","https://www.apartments.com/1560-corbin-ave-new-britain-ct/vzdt9zg/","prosumer","No","","","","","2025-07-02T06:30:11.463Z"
"88k0w01","1744 Farmington Ave Unit 2, Unionville, CT 06085","","1744 Farmington Ave Unit 2","$1,600","1","1","650","Apartment for Rent","(860) 785-6445","https://www.apartments.com/1744-farmington-ave-unionville-ct/88k0w01/","prosumer","No","","","","","2025-07-02T06:30:11.472Z"
"ght214x","","","","","","","","","","","reinforcement","No","","","","","2025-07-02T06:30:11.486Z"
"4c98s1h","632 E Main St, New Britain, CT 06051","","632 E Main St","$1,700","","1","480","Apartment for Rent","(860) 626-5997","https://www.apartments.com/632-e-main-st-new-britain-ct/4c98s1h/","prosumer","No","","","","","2025-07-02T06:30:11.503Z"
"1p3f0n5","54 Hungary Rd, Granby, CT 06035","","54 Hungary Rd","$1,100","1","1","1946","Room for Rent","(860) 310-1064","https://www.apartments.com/54-hungary-rd-granby-ct/1p3f0n5/","prosumer","No","","","","","2025-07-02T06:30:11.512Z"
"08067k2","16 Wellington Dr Unit 16 Wellington Dr, Farmington, CT 06032","","16 Wellington Dr Unit 16 Wellington Dr","$1,900","2","1","907","Condo for Rent","(860) 321-1093","https://www.apartments.com/16-wellington-dr-farmington-ct-unit-16-wellington-dr/08067k2/","prosumer","No","","","","","2025-07-02T06:30:11.527Z"
"1f037n5","10 Talcott Forest Rd Unit F, Farmington, CT 06032","","10 Talcott Forest Rd Unit F","$3,200","4","2","1750","Condo for Rent","(857) 567-0377","https://www.apartments.com/10-talcott-forest-rd-farmington-ct-unit-f/1f037n5/","prosumer","No","","","","","2025-07-02T06:30:11.537Z"
"xqjx1mm","280 Salmon Brook St Unit 7105, Granby, CT 06035","","280 Salmon Brook St Unit 7105","$1,900","1","1","819","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-7105/xqjx1mm/","prosumer","No","","","","","2025-07-02T06:30:11.559Z"
"1bl22r6","","","","","","","","","","","reinforcement","No","","","","","2025-07-02T06:30:11.573Z"
"26nrr2b","280 Salmon Brook St Unit 5210, Granby, CT 06035","","280 Salmon Brook St Unit 5210","$2,550","2","2","1160","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-5210/26nrr2b/","prosumer","No","","","","","2025-07-02T06:30:11.582Z"
"ldwlkre","280 Salmon Brook St Unit 5205, Granby, CT 06035","","280 Salmon Brook St Unit 5205","$2,550","2","2","1160","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-5205/ldwlkre/","prosumer","No","","","","","2025-07-02T06:30:11.598Z"
"xnsx34n","280 Salmon Brook St Unit 6206, Granby, CT 06035","","280 Salmon Brook St Unit 6206","$2,850","3","2","1501","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-6206/xnsx34n/","prosumer","No","","","","","2025-07-02T06:30:11.607Z"
"nnrn32n","280 Salmon Brook St Unit 7206, Granby, CT 06035","","280 Salmon Brook St Unit 7206","$2,850","3","2","1501","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-7206/nnrn32n/","prosumer","No","","","","","2025-07-02T06:30:11.625Z"
"7wy7kqx","280 Salmon Brook St Unit 5211, Granby, CT 06035","","280 Salmon Brook St Unit 5211","$2,300","1","1","941","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-5211/7wy7kqx/","prosumer","No","","","","","2025-07-02T06:30:11.640Z"
"ret2c13","280 Salmon Brook St Unit 5304, Granby, CT 06035","","280 Salmon Brook St Unit 5304","$2,300","1","1","941","Condo for Rent","(717) 719-7054","https://www.apartments.com/280-salmon-brook-st-granby-ct-unit-5304/ret2c13/","prosumer","No","","","","","2025-07-02T06:30:11.649Z"
"j0tcsf6","33 Howland Rd, West Hartford, CT 06107","","33 Howland Rd","$4,200","4","2.5","1836","House for Rent","(610) 972-2101","https://www.apartments.com/33-howland-rd-west-hartford-ct/j0tcsf6/","prosumer","No","","","","","2025-07-02T06:30:11.666Z"
"6rfq7lv","39 Washington St Unit 302, Bristol, CT 06010","","39 Washington St Unit 302","$1,700","2","1","900","Apartment for Rent","(860) 205-8640","https://www.apartments.com/39-washington-st-bristol-ct-unit-302/6rfq7lv/","prosumer","No","","","","","2025-07-02T06:30:11.682Z"
"d5whz8h","75 Harold Rd, Farmington, CT 06032","","75 Harold Rd","$3,200","3","3","1462","House for Rent","(860) 302-4411","https://www.apartments.com/75-harold-rd-farmington-ct/d5whz8h/","prosumer","No","","","","","2025-07-02T06:30:11.691Z"
"tr081bc","218 West St Unit C4, Bristol, CT 06010","","218 West St Unit C4","$1,450","2","1","11640","Apartment for Rent","(860) 919-7377","https://www.apartments.com/218-west-st-bristol-ct-unit-c4/tr081bc/","prosumer","No","","","","","2025-07-02T06:30:11.705Z"
"46m82wj","147 Overlook Ave Unit 2, New Britain, CT 06053","","147 Overlook Ave Unit 2","$1,600","3","1","1144","Apartment for Rent","(860) 402-8517","https://www.apartments.com/147-overlook-ave-new-britain-ct-unit-2/46m82wj/","prosumer","No","","","","","2025-07-02T06:30:11.715Z"
"nwt48vp","194 S Main St Unit 4, New Britain, CT 06051","","194 S Main St Unit 4","$1,150","1","1","700","Apartment for Rent","(203) 887-6226","https://www.apartments.com/194-s-main-st-new-britain-ct-unit-4/nwt48vp/","prosumer","No","","","","","2025-07-02T06:30:11.731Z"
"p79kc9v","76 Gridley St Unit 2nd floor, Bristol, CT 06010","","76 Gridley St Unit 2nd floor","$1,650","2","1","1092","Apartment for Rent","(860) 999-2818","https://www.apartments.com/76-gridley-st-bristol-ct-unit-2nd-floor/p79kc9v/","prosumer","No","","","","","2025-07-02T06:30:11.746Z"
"g04bvgw","19 Hurlburt St, New Britain, CT 06051","","19 Hurlburt St","$2,000","3","1.5","1128","Apartment for Rent","(860) 384-1947","https://www.apartments.com/19-hurlburt-st-new-britain-ct/g04bvgw/","prosumer","No","","","","","2025-07-02T06:30:11.755Z"
"bttbzj9","500 Farmington Ave Unit 2, New Britain, CT 06053","","500 Farmington Ave Unit 2","$1,750","3","1.5","1300","Apartment for Rent","(860) 402-8517","https://www.apartments.com/500-farmington-ave-new-britain-ct-unit-2/bttbzj9/","prosumer","No","","","","","2025-07-02T06:30:11.770Z"
"wmm456k","40 Pulaski St, New Britain, CT 06053","","40 Pulaski St","$1,800","2","1","2844","Apartment for Rent","(860) 508-8508","https://www.apartments.com/40-pulaski-st-new-britain-ct/wmm456k/","prosumer","No","","","","","2025-07-02T06:30:11.779Z"
"zh7xs1z","67 Brooklawn St Unit 2nd Floor, New Britain, CT 06052","","67 Brooklawn St Unit 2nd Floor","$1,600","2","1","1116","Apartment for Rent","(203) 464-5411","https://www.apartments.com/67-brooklawn-st-new-britain-ct-unit-2nd-floor/zh7xs1z/","prosumer","No","","","","","2025-07-02T06:30:11.808Z"
"fwlzktt","273 Queen St Unit APT 12B, Southington, CT 06489","","273 Queen St Unit APT 12B","$1,700","2","1.5","920","Condo for Rent","(860) 302-8394","https://www.apartments.com/273-queen-st-southington-ct-unit-apt-12b/fwlzktt/","prosumer","No","","","","","2025-07-02T06:30:11.816Z"
"pl5ls2t","171 School St Unit 2E, Bristol, CT 06010","","171 School St Unit 2E","$1,375","2","1","1300","Apartment for Rent","(860) 970-6613","https://www.apartments.com/171-school-st-bristol-ct-unit-2e/pl5ls2t/","prosumer","No","","","","","2025-07-02T06:30:11.830Z"
"gt1hhpw","115 Belden St, New Britain, CT 06051","","115 Belden St","$2,475","3","1","1350","Apartment for Rent","(860) 815-1280","https://www.apartments.com/115-belden-st-new-britain-ct/gt1hhpw/","prosumer","No","","","","","2025-07-02T06:30:11.839Z"
"c52tbrf","541 Burritt St, New Britain, CT 06053","","541 Burritt St","$3,500","6","2.5","2226","Apartment for Rent","(860) 874-6646","https://www.apartments.com/541-burritt-st-new-britain-ct/c52tbrf/","prosumer","No","","","","","2025-07-02T06:30:11.853Z"
"2j75wqb","15 Burnham St Unit 2, Plymouth, CT 06786","","15 Burnham St Unit 2","$2,200","6","3","1901","Apartment for Rent","(203) 241-0594","https://www.apartments.com/15-burnham-st-plymouth-ct-unit-2/2j75wqb/","prosumer","No","","","","","2025-07-02T06:30:11.862Z"
"mdxrdsl","541 Burritt St Unit 1 Floor, New Britain, CT 06053","","541 Burritt St Unit 1 Floor","$1,750","3","1","2226","Apartment for Rent","(860) 874-6646","https://www.apartments.com/541-burritt-st-new-britain-ct-unit-1-floor/mdxrdsl/","prosumer","No","","","","","2025-07-02T06:30:11.876Z"
"4fpt87k","115 W Avon Rd, Farmington, CT 06085","","115 W Avon Rd","$4,000","4","3","2642","House for Rent","(203) 228-3738","https://www.apartments.com/115-w-avon-rd-farmington-ct/4fpt87k/","prosumer","No","","","","","2025-07-02T06:30:14.457Z"
"hl61ql0","66 Winthrop St, New Britain, CT 06052","","66 Winthrop St","$2,100","3","2","3946","Apartment for Rent","(860) 478-8674","https://www.apartments.com/66-winthrop-st-new-britain-ct/hl61ql0/","prosumer","No","","","","","2025-07-02T06:30:14.486Z"
"82cemg0","48 S Burritt St Unit 1R, New Britain, CT 06052","","48 S Burritt St Unit 1R","$1,650","2","1","900","Apartment for Rent","(860) 916-6433","https://www.apartments.com/48-s-burritt-st-new-britain-ct-unit-1r/82cemg0/","prosumer","No","","","","","2025-07-02T06:30:14.508Z"
"61l2ens","55 Bishop Ln, Avon, CT 06001","","55 Bishop Ln","$25,000","6","6","12157","House for Rent","(860) 874-6646","https://www.apartments.com/55-bishop-ln-avon-ct/61l2ens/","prosumer","No","","","","","2025-07-02T06:30:14.521Z"
"km3j3mc","93 Caesar Dr Unit 95, Bristol, CT 06010","","93 Caesar Dr Unit 95","$1,700","2","1.5","1411","Apartment for Rent","(860) 996-4012","https://www.apartments.com/93-caesar-dr-bristol-ct-unit-95/km3j3mc/","prosumer","No","","","","","2025-07-02T06:30:14.535Z"
"klenycc","642 Stafford Ave Unit 4, Bristol, CT 06010","","642 Stafford Ave Unit 4","$2,000","2","1","1080","Apartment for Rent","(860) 538-7567","https://www.apartments.com/642-stafford-ave-bristol-ct-unit-4/klenycc/","prosumer","No","","","","","2025-07-02T06:30:14.544Z"
"p4jjs0s","24 Willis St Unit 1, Bristol, CT 06010","","24 Willis St Unit 1","$2,700","4","1","1500","Apartment for Rent","(203) 512-3303","https://www.apartments.com/24-willis-st-bristol-ct-unit-1/p4jjs0s/","prosumer","No","","","","","2025-07-02T06:30:14.558Z"
"m231dvh","8 Alto Rd Unit C Rear, Burlington, CT 06013","","8 Alto Rd Unit C Rear","$2,200","2","1","1200","Apartment for Rent","(860) 309-0474","https://www.apartments.com/8-alto-rd-burlington-ct-unit-c-rear/m231dvh/","prosumer","No","","","","","2025-07-02T06:30:14.572Z"
"v5bbh8d","160 Main St Unit 2B, New Britain, CT 06051","","160 Main St Unit 2B","$1,988","2","1","1100","Apartment for Rent","(215) 730-5401","https://www.apartments.com/160-main-st-new-britain-ct-unit-2b/v5bbh8d/","prosumer","No","","","","","2025-07-02T06:30:14.581Z"
"s7bxtv6","178 New Britain Rd, Berlin, CT 06037","","178 New Britain Rd","$2,600","2","1.5","744","House for Rent","(203) 695-8486","https://www.apartments.com/178-new-britain-rd-berlin-ct/s7bxtv6/","prosumer","No","","","","","2025-07-02T06:30:14.595Z"
"3p9kemd","136 Liberty St Unit 111, Southington, CT 06489","","136 Liberty St Unit 111","$2,200","2","1","1060","Apartment for Rent","(860) 919-4484","https://www.apartments.com/136-liberty-st-southington-ct-unit-111/3p9kemd/","prosumer","No","","","","","2025-07-02T06:30:14.604Z"
"4k9w67k","267 N Washington St, Plainville, CT 06062","","267 N Washington St","$2,400","4","1","1202","House for Rent","(860) 474-3762","https://www.apartments.com/267-n-washington-st-plainville-ct/4k9w67k/","prosumer","No","","","","","2025-07-02T06:30:14.618Z"
"yyt6kds","4 Beth Ct Unit 2, New Britain, CT 06053","","4 Beth Ct Unit 2","$1,600","3","1","1240","Apartment for Rent","(860) 883-2099","https://www.apartments.com/4-beth-ct-new-britain-ct-unit-2/yyt6kds/","prosumer","No","","","","","2025-07-02T06:30:14.634Z"
"85flzn1","86 Rockwell Ave Unit 1st Fl, New Britain, CT 06051","","86 Rockwell Ave Unit 1st Fl","$1,500","2","1","826","Apartment for Rent","(860) 874-3824","https://www.apartments.com/86-rockwell-ave-new-britain-ct-unit-1st-fl/85flzn1/","prosumer","No","","","","","2025-07-02T06:30:14.643Z"
"1p0pkv4","181 Farms Village Rd, Simsbury, CT 06092","","181 Farms Village Rd","$4,500","4","3.5","2732","House for Rent","(860) 878-1607","https://www.apartments.com/181-farms-village-rd-simsbury-ct/1p0pkv4/","prosumer","No","","","","","2025-07-02T06:30:14.658Z"
"nbvpkfp","15 Trout Brook Rd, Bristol, CT 06010","","15 Trout Brook Rd","$1,700","3","1","1046","Apartment for Rent","(860) 874-6646","https://www.apartments.com/15-trout-brook-rd-bristol-ct/nbvpkfp/","prosumer","No","","","","","2025-07-02T06:30:14.666Z"
"jrlv0w4","267 Main St Unit 512, New Britain, CT 06051","","267 Main St Unit 512","$1,625","","1","501","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-512/jrlv0w4/","prosumer","No","","","","","2025-07-02T06:30:14.693Z"
"lhlshxd","267 Main St Unit 602, New Britain, CT 06051","","267 Main St Unit 602","$1,925","1","1","620","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-602/lhlshxd/","prosumer","No","","","","","2025-07-02T06:30:14.702Z"
"6gfpzwr","267 Main St Unit 519, New Britain, CT 06051","","267 Main St Unit 519","$1,800","","1","514","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-519/6gfpzwr/","prosumer","No","","","","","2025-07-02T06:30:14.710Z"
"w0jd8zk","267 Main St Unit 504, New Britain, CT 06051","","267 Main St Unit 504","$2,200","1","1","768","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-504/w0jd8zk/","prosumer","No","","","","","2025-07-02T06:30:14.724Z"
"769ep2y","267 Main St Unit 516, New Britain, CT 06051","","267 Main St Unit 516","$2,725","2","2","995","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-516/769ep2y/","prosumer","No","","","","","2025-07-02T06:30:14.738Z"
"58jg0lm","267 Main St Unit 518, New Britain, CT 06051","","267 Main St Unit 518","$2,850","2","1","1043","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-518/58jg0lm/","prosumer","No","","","","","2025-07-02T06:30:14.747Z"
"bvztvsc","267 Main St Unit 506, New Britain, CT 06051","","267 Main St Unit 506","$2,300","1","1","747","Apartment for Rent","(860) 919-0709","https://www.apartments.com/267-main-st-new-britain-ct-unit-506/bvztvsc/","prosumer","No","","","","","2025-07-02T06:30:14.761Z"
"lr49plf","23 Vine Hill Rd, Farmington, CT 06032","","23 Vine Hill Rd","$4,750","4","3.5","3194","House for Rent","(860) 989-9076","https://www.apartments.com/23-vine-hill-rd-farmington-ct/lr49plf/","prosumer","No","","","","","2025-07-02T06:30:14.774Z"
"rmhbnc0","31 Rivermead, Avon, CT 06001","","31 Rivermead","$3,150","3","3.5","1872","Condo for Rent","(860) 919-1631","https://www.apartments.com/31-rivermead-avon-ct/rmhbnc0/","prosumer","No","","","","","2025-07-02T06:30:14.783Z"
"05d9180","29 City Ave Unit 1, New Britain, CT 06051","","29 City Ave Unit 1","$1,650","3","1","1181","Apartment for Rent","(860) 368-1931","https://www.apartments.com/29-city-ave-new-britain-ct-unit-1/05d9180/","prosumer","No","","","","","2025-07-02T06:30:14.796Z"
"37x8sje","165 School St Unit 4, Bristol, CT 06010","","165 School St Unit 4","$1,300","2","1","850","Apartment for Rent","(860) 970-6613","https://www.apartments.com/165-school-st-bristol-ct-unit-4/37x8sje/","prosumer","No","","","","","2025-07-02T06:30:14.809Z"
"y6db4ss","42 Rosedale Rd, West Hartford, CT 06107","","42 Rosedale Rd","$3,500","4","1.5","2262","House for Rent","(855) 550-0528","https://www.apartments.com/42-rosedale-rd-west-hartford-ct/y6db4ss/","prosumer","No","","","","","2025-07-02T06:30:14.818Z"
"e75tl6m","44 N Rd, East Granby, CT 06026","","44 N Rd","$3,300","4","2","1786","House for Rent","(860) 655-7590","https://www.apartments.com/44-n-rd-east-granby-ct/e75tl6m/","prosumer","No","","","","","2025-07-02T06:30:14.832Z"
"fgnjtlt","242 High St, Bristol, CT 06010","","242 High St","$1,650","2","1","1102","Apartment for Rent","(860) 996-4012","https://www.apartments.com/242-high-st-bristol-ct/fgnjtlt/","prosumer","No","","","","","2025-07-02T06:30:14.841Z"
"7tp4kww","98 Carlton St, New Britain, CT 06053","","98 Carlton St","$1,600","2","1","800","House for Rent","(203) 996-0513","https://www.apartments.com/98-carlton-st-new-britain-ct/7tp4kww/","prosumer","No","","","","","2025-07-02T06:30:14.855Z"
"k3n8fk9","5 Cherry Brook Rd Unit 322, Canton, CT 06019","","5 Cherry Brook Rd Unit 322","$2,595","2","2","1188","Apartment for Rent","(860) 977-3802","https://www.apartments.com/5-cherry-brook-rd-canton-ct-unit-322/k3n8fk9/","prosumer","No","","","","","2025-07-02T06:30:14.870Z"
"9byrxj4","38 Windmill Springs Unit 38, Granby, CT 06035","","38 Windmill Springs Unit 38","$2,550","2","2.5","1682","Condo for Rent","(860) 573-0277","https://www.apartments.com/38-windmill-springs-granby-ct-unit-38/9byrxj4/","prosumer","No","","","","","2025-07-02T06:30:14.884Z"
"r1000x1","146 Bristol St, Southington, CT 06489","","146 Bristol St","$1,600","2","1","900","Apartment for Rent","(203) 343-1071","https://www.apartments.com/146-bristol-st-southington-ct/r1000x1/","prosumer","No","","","","","2025-07-02T06:30:14.899Z"
"dv0175l","157 Liberty St, Southington, CT 06489","","157 Liberty St","$2,100","3","1","1000","Apartment for Rent","(203) 525-1919","https://www.apartments.com/157-liberty-st-southington-ct/dv0175l/","prosumer","No","","","","","2025-07-02T06:30:14.907Z"
"tlrygd8","61 Lake Garda Dr, Farmington, CT 06085","","61 Lake Garda Dr","$3,200","4","2","1632","House for Rent","(860) 841-4071","https://www.apartments.com/61-lake-garda-dr-farmington-ct/tlrygd8/","prosumer","No","","","","","2025-07-02T06:30:14.921Z"
"v75qlzf","30 West St Unit 1st fl, New Britain, CT 06051","","30 West St Unit 1st fl","$1,600","3","1","1280","Apartment for Rent","(860) 382-5115","https://www.apartments.com/30-west-st-new-britain-ct-unit-1st-fl/v75qlzf/","prosumer","No","","","","","2025-07-02T06:30:14.935Z"
"67ngpms","5 Cherry Brook Rd Unit 305, Canton, CT 06019","","5 Cherry Brook Rd Unit 305","$2,595","2","2","1188","Apartment for Rent","(860) 977-3802","https://www.apartments.com/5-cherry-brook-rd-canton-ct-unit-305/67ngpms/","prosumer","No","","","","","2025-07-02T06:30:14.944Z"
"dlg9nmh","100 Norton Park Rd Unit 3A2, Plainville, CT 06062","","100 Norton Park Rd Unit 3A2","$2,300","3","1.5","900","Apartment for Rent","(860) 268-8882","https://www.apartments.com/100-norton-park-rd-plainville-ct-unit-3a2/dlg9nmh/","prosumer","No","","","","","2025-07-02T06:30:14.958Z"
"ctxn6yf","43 Prattling Pond Rd, Farmington, CT 06032","","43 Prattling Pond Rd","$7,500","4","3","4064","House for Rent","(860) 874-6646","https://www.apartments.com/43-prattling-pond-rd-farmington-ct/ctxn6yf/","prosumer","No","","","","","2025-07-02T06:30:14.967Z"
"fqtqjzs","41 Mallard Dr Unit 41, Avon, CT 06001","","41 Mallard Dr Unit 41","$2,700","2","2","1258","Condo for Rent","(860) 573-0277","https://www.apartments.com/41-mallard-dr-avon-ct-unit-41/fqtqjzs/","prosumer","No","","","","","2025-07-02T06:30:17.526Z"
"d0lnrkj","220 Main St Unit APT 7L, New Hartford, CT 06057","","220 Main St Unit APT 7L","$1,800","2","1.5","1136","Condo for Rent","(860) 729-8250","https://www.apartments.com/220-main-st-new-hartford-ct-unit-apt-7l/d0lnrkj/","prosumer","No","","","","","2025-07-02T06:30:17.541Z"
"wg4z24l","35 Circle St, Bristol, CT 06010","","35 Circle St","$1,000","1","1","487","Apartment for Rent","(860) 601-8217","https://www.apartments.com/35-circle-st-bristol-ct/wg4z24l/","prosumer","No","","","","","2025-07-02T06:30:17.555Z"
"9ssrgf6","371 Bucks Hl Rd Unit 2, Waterbury, CT 06704","","371 Bucks Hl Rd Unit 2","$1,600","2","1","988","Apartment for Rent","(203) 317-9698","https://www.apartments.com/371-bucks-hl-rd-waterbury-ct-unit-2/9ssrgf6/","prosumer","No","","","","","2025-07-02T06:30:17.571Z"
"rdtm8y0","59 Bradford Walk Unit 59, Farmington, CT 06032","","59 Bradford Walk Unit 59","$3,500","2","2.5","2126","Condo for Rent","(860) 944-3773","https://www.apartments.com/59-bradford-walk-farmington-ct-unit-59/rdtm8y0/","prosumer","No","","","","","2025-07-02T06:30:17.579Z"
